epoch,recon_mse,lr
746,0.003823,6.97e-06
747,0.003820,6.96e-06
748,0.003839,6.95e-06
749,0.003815,6.94e-06
750,0.003808,6.94e-06
751,0.003809,6.93e-06
752,0.003805,6.92e-06
753,0.003813,6.91e-06
754,0.003818,6.91e-06
755,0.003813,6.90e-06
756,0.003801,6.89e-06
757,0.003819,6.89e-06
758,0.003836,6.88e-06
759,0.003867,6.87e-06
760,0.003849,6.86e-06
761,0.003828,6.86e-06
762,0.003803,6.85e-06
763,0.003798,6.84e-06
764,0.003797,6.83e-06
765,0.003786,6.83e-06
766,0.003791,6.82e-06
767,0.003795,6.81e-06
768,0.003784,6.80e-06
769,0.003787,6.80e-06
770,0.003777,6.79e-06
771,0.003798,6.78e-06
772,0.003781,6.78e-06
773,0.003771,6.77e-06
774,0.003769,6.76e-06
775,0.003788,6.75e-06
776,0.003775,6.75e-06
777,0.003775,6.74e-06
778,0.003792,6.73e-06
779,0.003787,6.72e-06
780,0.003792,6.72e-06
781,0.003780,6.71e-06
782,0.003781,6.70e-06
783,0.003760,6.69e-06
784,0.003747,6.69e-06
785,0.003744,6.68e-06
786,0.003746,6.67e-06
787,0.003742,6.66e-06
788,0.003747,6.66e-06
789,0.003754,6.65e-06
790,0.003739,6.64e-06
791,0.003745,6.63e-06
792,0.003738,6.63e-06
793,0.003734,6.62e-06
794,0.003752,6.61e-06
795,0.003750,6.60e-06
796,0.003746,6.60e-06
797,0.003732,6.59e-06
798,0.003744,6.58e-06
799,0.003733,6.58e-06
800,0.003721,6.57e-06
801,0.003735,6.56e-06
802,0.003745,6.55e-06
803,0.003722,6.55e-06
804,0.003731,6.54e-06
805,0.003715,6.53e-06
806,0.003716,6.52e-06
807,0.003724,6.52e-06
808,0.003731,6.51e-06
809,0.003728,6.50e-06
810,0.003737,6.49e-06
811,0.003732,6.49e-06
812,0.003735,6.48e-06
813,0.003727,6.47e-06
814,0.003732,6.46e-06
815,0.003725,6.45e-06
816,0.003719,6.45e-06
817,0.003705,6.44e-06
818,0.003695,6.43e-06
819,0.003697,6.42e-06
820,0.003707,6.42e-06
821,0.003689,6.41e-06
822,0.003697,6.40e-06
